player_id,player,college,conference,years,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,passer_rating,rushing_attempts,rushing_yards,rushing_touchdowns,wins,losses,highest_rank,conference_wins,conference_losses,points_for,points_against,years_missing,height,weight,age
2005-121,Stefan Lefors,41,5,4,50.0,416.0,630.0,5853.0,38.0,13.0,149.175,146.0,756.0,6.0,38,13,6,24,7,1815,1139,0,72.0,203.0,23
2001-109,Sage Rosenfels,34,2,4,30.0,306.0,587.0,4164.0,18.0,26.0,79.925,164.0,660.0,14.0,17,28,25,8,24,1025,1415,0,76.4,228.0,23
2001-32,Drew Brees,65,4,4,41.0,942.0,1525.0,10909.0,81.0,41.0,123.1,229.0,906.0,14.0,33,16,9,22,10,1605,1114,0,72.3,213.0,22
2010-1,Sam Bradford,59,2,3,31.0,604.0,893.0,8403.0,88.0,16.0,163.93333333333334,77.0,36.0,5.0,31,10,1,20,6,1712,816,0,76.25,236.0,22
2012-57,Brock Osweiler,4,10,3,25.0,412.0,680.0,5082.0,33.0,15.0,120.1,137.0,221.0,4.0,16,21,18,10,17,1086,925,0,78.88,242.0,21
2008-209,Matt Flynn,38,11,4,41.0,245.0,437.0,3096.0,31.0,13.0,150.27499999999998,128.0,340.0,5.0,43,9,1,26,8,1706,833,0,74.25,231.0,23
2021-67,Davis Mills,74,10,3,14.0,287.0,438.0,3468.0,18.0,8.0,94.90000000000002,63.0,86.0,3.0,17,14,7,13,11,805,846,0,76.0,225.0,22
2002-163,Brandon Doman,7,8,4,32.0,313.0,504.0,4354.0,35.0,14.0,65.25,184.0,673.0,11.0,35,17,8,23,7,1635,1275,0,73.8,210.0,25
2018-171,Mike White,97,5,4,44.0,863.0,1393.0,11262.0,74.0,31.0,133.775,136.0,-470.0,6.0,23,28,999,17,16,1339,1360,0,76.63,224.0,23
2022-137,Bailey Zappe,97,5,1,14.0,475.0,687.0,5967.0,62.0,11.0,168.7,51.0,17.0,3.0,9,5,999,7,2,619,411,0,72.5,215.0,23
2007-205,Jordan Palmer,82,5,4,46.0,851.0,1427.0,11084.0,88.0,64.0,131.05,216.0,-43.0,7.0,23,26,23,15,17,1427,1485,0,77.63,231.0,23
2003-232,Gibran Hamdan,32,4,3,30.0,155.0,299.0,2172.0,10.0,14.0,131.5666666666667,57.0,-43.0,1.0,11,23,999,7,17,900,1170,0,78.0,240.0,22
2012-253,Chandler Harnish,55,7,4,47.0,687.0,1110.0,8944.0,68.0,26.0,142.35000000000002,538.0,2983.0,24.0,35,19,24,26,8,1754,1204,0,73.63,219.0,24
2004-193,Jim Sorgi,98,4,4,39.0,287.0,517.0,4475.0,33.0,20.0,140.57500000000002,137.0,-39.0,4.0,29,23,4,13,19,1368,1239,0,77.0,196.0,23
2022-262,Brock Purdy,34,2,4,48.0,993.0,1467.0,12170.0,81.0,33.0,153.025,365.0,1177.0,19.0,31,20,7,24,13,1568,1159,0,72.63,212.0,22
2021-1,Trevor Lawrence,15,0,3,40.0,758.0,1138.0,10098.0,90.0,17.0,164.49999999999997,231.0,943.0,18.0,39,3,1,27,1,1845,642,0,77.63,213.0,21
2013-98,Matt Barkley,88,10,4,47.0,1001.0,1562.0,12327.0,116.0,48.0,147.825,132.0,-113.0,6.0,34,17,1,22,14,1593,1204,0,74.5,230.0,22
2020-53,Jalen Hurts,59,2,4,56.0,682.0,1046.0,9477.0,80.0,20.0,169.42499999999998,614.0,3274.0,43.0,53,5,1,35,2,2375,1015,0,73.0,222.0,22
2017-104,C.J. Beathard,33,4,4,41.0,454.0,782.0,5562.0,40.0,19.0,119.3,224.0,429.0,10.0,35,18,3,23,11,1466,1109,0,74.13,219.0,23
2020-231,Ben DiNucci,35,0,2,12.0,91.0,167.0,1107.0,6.0,7.0,79.15,57.0,144.0,1.0,13,12,22,8,8,819,777,0,74.0,215.0,23
2003-200,Brooks Bollinger,98,4,4,44.0,398.0,740.0,5406.0,36.0,17.0,127.875,490.0,1703.0,25.0,32,19,4,16,16,1422,1087,0,72.0,205.0,23
