year,position,player_id,player,round,pick,team,age,final_year,first_team_all_pro_selections,pro_bowl_selections,number_of_years_as_a_starter,weighted_career_approximate_value,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,college
2021,QB,2021-1,1,Trevor Lawrence,1,JAX,21,2023,0,1,2,34,50,1116,1750,11770,58,39,205,964,11,Clemson
2021,QB,2021-2,1,Zach Wilson,2,NYJ,22,2023,0,0,2,13,34,566,993,6293,23,25,93,498,5,BYU
2021,QB,2021-3,1,Trey Lance,3,SFO,21,2022,0,0,0,4,8,56,102,797,5,3,54,235,1,North Dakota St.
2021,QB,2021-11,1,Justin Fields,11,CHI,22,2023,0,0,1,34,40,578,958,6674,40,30,356,2220,14,Ohio St.
2021,QB,2021-15,1,Mac Jones,15,NWE,23,2023,0,1,2,24,42,864,1308,8918,46,36,117,327,1,Alabama
2021,QB,2021-64,2,Kyle Trask,64,TAM,23,2023,0,0,0,0,3,3,10,23,0,0,1,-1,0,Florida
2021,QB,2021-66,3,Kellen Mond,66,MIN,22,2021,0,0,0,0,1,2,3,5,0,0,0,0,0,Texas A&M
2021,QB,2021-67,3,Davis Mills,67,HOU,22,2023,0,0,2,15,34,573,912,5955,35,25,52,161,2,Stanford
2021,QB,2021-133,4,Ian Book,133,NOR,23,2021,0,0,0,0,1,12,20,135,0,2,3,6,0,Notre Dame
2021,QB,2021-218,6,Sam Ehlinger,218,IND,22,2023,0,0,0,2,8,64,101,573,3,3,20,96,0,Texas
